Poll,,Date,Sample,LV/RV,MoE,Clinton (D),Trump (R)
Bloomberg,11/4,11/6,799,LV,3.5,46,43
IBD/TIPP Tracking,11/4,11/7,1107,LV,3.1,43,42
Economist/YouGov,11/4,11/7,3669,LV,--,49,45
LA Times/USC Tracking,11/1,11/7,2935,LV,4.5,44,47
ABC/Wash Post Tracking,11/3,11/6,2220,LV,2.5,49,46
FOX News,11/3,11/6,1295,LV,2.5,48,44
Monmouth,11/3,11/6,748,LV,3.6,50,44
NBC News/Wall St. Jrnl,11/3,11/5,1282,LV,2.7,48,43
CBS News,11/2,11/6,1426,LV,3,47,43
Reuters/Ipsos,11/2,11/6,2196,LV,2.3,44,39
McClatchy/Marist,11/1,11/3,940,LV,3.2,46,44
FOX News,11/1,11/3,1107,LV,3,46,45
NBC News/SM,10/31,11/6,30145,LV,1,51,44
Reuters/Ipsos,10/31,11/4,2244,LV,2.2,44,40
Gravis,10/31,10/31,5360,RV,1.3,50,50
Reuters/Ipsos,10/30,11/3,2021,LV,2.5,44,39
Economist/YouGov,10/30,11/1,1233,LV,3.2,48,45
Reuters/Ipsos,10/29,11/2,1858,LV,2.6,45,39
CBS News/NY Times,10/28,11/1,1333,LV,3,47,44
ABC/Wash Post Tracking,10/27,10/30,1128,LV,3,48,47
LA Times/USC Tracking,10/25,10/31,3145,LV,4.5,43,47
IBD/TIPP Tracking,10/25,10/30,1013,LV,3.3,45,43
NBC News/SM,10/24,10/30,40816,LV,1,51,44
LA Times/USC Tracking,10/22,10/28,3248,LV,4.5,44,46
ABC/Wash Post Tracking,10/23,10/26,1109,LV,3,50,45
Economist/YouGov,10/22,10/26,1209,LV,3.3,49,46
FOX News,10/22,10/25,1221,LV,2.5,49,44
IBD/TIPP Tracking,10/20,10/25,921,LV,3.3,43,41
Pew Research,10/20,10/25,2120,RV,2.4,50,43
ABC News Tracking,10/21,10/24,1119,LV,3,51,43
CNBC,10/21,10/24,--,LV,--,47,37
LA Times/USC Tracking,10/19,10/25,3145,LV,4.5,44,45
USA Today/Suffolk,10/20,10/24,1000,LV,3,49,39
Associated Press-GfK,10/20,10/24,1212,LV,--,54,41
Reuters/Ipsos,10/20,10/24,1170,LV,3.3,43,37
ABC News Tracking,10/20,10/23,611,LV,4.5,53,41
Gravis,10/20,10/23,2109,RV,2.1,50,50
CNN/ORC,10/20,10/23,779,LV,3.5,51,45
NBC News/SM,10/17,10/23,32255,LV,1,50,44
Quinnipiac,10/17,10/18,1007,LV,3.1,50,44
Economist/YouGov,10/15,10/18,925,RV,3.9,47,43
FOX News,10/15,10/17,912,LV,3,49,42
Bloomberg,10/14,10/17,1006,LV,3.1,50,41
Reuters/Ipsos,10/13,10/17,1190,LV,3.3,43,39
Monmouth,10/14,10/16,726,LV,3.6,53,41
CBS News,10/12,10/16,1189,LV,3,51,40
NBC News/SM,10/10,10/16,24804,LV,1,51,43
ABC News/Wash Post,10/10,10/13,740,LV,4,50,46
NBC News/Wall St. Jrnl,10/10,10/13,905,LV,3.3,51,41
LA Times/USC Tracking,10/9,10/15,2946,LV,4.5,44,45
FOX News,10/10,10/12,917,LV,3,49,41
NBC News/Wall St. Jrnl,10/8,10/10,806,LV,3.5,50,40
Reuters/Ipsos,10/6,10/10,2363,LV,2.2,44,37
NBC News/Wall St. Jrnl,10/8,10/9,447,LV,4.6,52,38
Economist/YouGov,10/7,10/8,971,RV,4.2,48,43
The Atlantic,10/5,10/9,886,LV,3.9,49,38
LA Times/USC Tracking,10/4,10/10,2969,LV,4.5,43,45
NBC News/SM,10/3,10/9,23329,LV,1,51,44
Quinnipiac,10/5,10/6,1064,LV,3,50,44
FOX News,10/3,10/6,896,LV,3,48,44
Economist/YouGov,10/1,10/3,911,RV,3.9,48,43
Reuters/Ipsos,9/29,10/3,1239,LV,3.2,44,37
The Atlantic/PRRI,9/28,10/2,609,LV,--,47,41
CBS News,9/28,10/2,1217,LV,4,49,43
CNN/ORC,9/28,10/2,1213,LV,3,51,45
LA Times/USC Tracking,9/27,10/3,2275,LV,4.5,43,47
FOX News,9/27,9/29,911,LV,3,49,44
NBC News/SM,9/26,10/2,26925,LV,1,50,44
PPP (D),9/27,9/28,933,LV,3.2,49,45
Gravis,9/27,9/27,3386,RV,1.7,50,50
Reuters/Ipsos,9/22,9/26,1041,LV,3.5,44,38
Quinnipiac,9/22,9/25,1115,LV,2.9,47,46
Bloomberg,9/21,9/24,1002,LV,3.1,46,46
Monmouth,9/22,9/25,729,LV,3.6,49,46
Economist/YouGov,9/22,9/24,948,RV,3.8,48,44
LA Times/USC Tracking,9/20,9/26,2726,LV,4.5,43,46
NBC News/SM,9/19,9/25,13598,LV,1.1,51,44
ABC News/Wash Post,9/19,9/22,651,LV,4.5,49,47
Economist/YouGov,9/18,9/19,936,RV,4,45,44
Reuters/Ipsos,9/15,9/19,1111,LV,3.4,39,39
McClatchy/Marist,9/15,9/20,758,LV,3.6,48,41
NBC News/Wall St. Jrnl,9/16,9/19,922,LV,3.2,48,41
Associated Press-GfK,9/15,9/16,1251,LV,--,50,44
LA Times/USC Tracking,9/13,9/19,2524,LV,4.5,42,47
NBC News/SM,9/12,9/18,13320,LV,1.2,50,45
FOX News,9/11,9/14,867,LV,3,45,46
CBS News/NY Times,9/9,9/13,1433,LV,3,46,44
Economist/YouGov,9/10,9/13,926,RV,4,46,44
Quinnipiac,9/8,9/13,960,LV,3.2,48,43
Reuters/Ipsos,9/8,9/12,1127,LV,3.3,40,39
LA Times/USC Tracking,9/5,9/11,2596,LV,4.5,44,44
NBC News/SM,9/5,9/11,16220,RV,1.1,48,44
ABC News/Wash Post,9/5,9/8,642,LV,4.5,51,43
Economist/YouGov,9/4,9/6,955,RV,4.7,44,42
Reuters/Ipsos,9/1,9/5,1084,LV,3.5,40,38
CNN/ORC,9/1,9/4,786,LV,3.5,48,49
NBC News/SM,8/29,9/4,32226,RV,1,48,42
IBD/TIPP,8/26,9/1,861,LV,3.4,44,43
FOX News,8/28,8/30,1011,RV,3,48,42
PPP (D),8/26,8/28,881,LV,3.3,48,43
Economist/YouGov,8/27,8/29,1119,RV,4,47,42
Reuters/Ipsos,8/25,8/29,1404,LV,3,40,39
Monmouth,8/25,8/28,689,LV,3.7,49,42
USA Today/Suffolk,8/24,8/29,1000,LV,3,48,41
NBC News/SM,8/22,8/28,24104,RV,1,48,42
LA Times/USC,8/22,8/28,2460,LV,4.5,44,44
Reuters/Ipsos,8/20,8/24,1049,LV,3.5,42,35
Economist/YouGov,8/19,8/23,906,RV,4.1,47,44
Quinnipiac,8/18,8/24,1498,LV,2.5,51,41
NBC News/SM,8/15,8/21,17459,RV,1.1,50,42
Reuters/Ipsos,8/13,8/17,1049,LV,3.5,41,36
Economist/YouGov,8/14,8/16,911,RV,4.2,47,41
Gravis,8/15,8/15,1143,RV,2.9,54,46
NBC News/SM,8/8,8/14,15179,RV,1.2,50,41
LA Times/USC,8/6,8/12,2325,LV,--,46,42
Reuters/Ipsos,8/6,8/10,974,LV,3.5,42,36
Bloomberg,8/5,8/8,749,LV,3.6,50,44
Economist/YouGov,8/6,8/9,911,RV,4.2,48,41
NBC News/SM,8/1,8/7,11480,RV,1.2,51,41
ABC News/Wash Post,8/1,8/4,815,RV,4,50,42
LA Times/USC,7/30,8/5,2175,LV,--,45,44
IBD/TIPP,7/29,8/4,851,RV,3.4,46,39
McClatchy/Marist,8/1,8/3,983,RV,3.1,48,33
NBC News/Wall St. Jrnl,7/31,8/3,800,RV,3.5,47,38
Reuters/Ipsos,7/30,8/3,1072,LV,3.5,43,39
FOX News,7/31,8/2,1022,RV,3,49,39
Economist/YouGov,7/30,8/1,933,RV,4.1,46,43
CBS News,7/29,7/31,1131,RV,3,47,41
CNN/ORC,7/29,7/31,894,RV,3.5,52,43
PPP (D),7/29,7/30,1276,LV,2.7,50,45
NBC News/SM,7/25,7/31,12742,RV,1.2,50,42
Reuters/Ipsos,7/25,7/29,1050,LV,3.5,40,35
Rasmussen Reports,7/26,7/27,1000,LV,3,43,42
Economist/YouGov,7/23,7/24,1057,RV,4.5,47,42
CNN/ORC,7/22,7/24,882,RV,3.5,45,48
LA Times/USC,7/20,7/26,2150,LV,--,40,47
CBS News,7/22,7/24,1118,RV,4,43,44
NBC News/SM,7/18,7/24,12931,RV,1.2,46,45
Gravis,7/21,7/22,3462,RV,1.7,49,51
Rasmussen Reports,7/18,7/19,1000,LV,3,42,43
Reuters/Ipsos,7/16,7/20,1232,RV,3.2,40,36
Economist/YouGov,7/15,7/17,925,RV,4.5,45,41
NBC News/SM,7/11,7/17,9436,RV,1.4,46,45
CNN/ORC,7/13,7/16,872,RV,3.5,49,42
ABC News/Wash Post,7/11,7/14,816,RV,4,47,43
NBC News/Wall St. Jrnl,7/9,7/13,1000,RV,3.1,46,41
Rasmussen Reports,7/12,7/13,1000,LV,3,37,44
CBS News/NY Times,7/8,7/12,1358,RV,3,40,40
Economist/YouGov,7/9,7/11,932,RV,4.5,45,43
McClatchy/Marist,7/5,7/9,1053,RV,3,42,39
Rasmussen Reports,7/5,7/5,1000,LV,3,40,42
Reuters/Ipsos,7/2,7/6,1345,RV,2.8,44,33
Economist/YouGov,7/2,7/4,1004,RV,4,47,42
Rasmussen Reports,6/28,6/29,1000,LV,3,39,43
USA Today/Suffolk,6/26,6/29,1000,LV,3,46,40
PPP (D),6/27,6/28,947,RV,3.2,48,44
Gravis*,6/27,6/28,2162,RV,2.1,50,48
FOX News,6/26,6/28,1017,RV,3,44,38
Reuters/Ipsos,6/25,6/29,1247,RV,2.8,42,32
IBD/TIPP,6/24,6/29,837,RV,3.5,44,40
Economist/YouGov,6/24,6/27,1069,RV,3.9,42,38
Quinnipiac,6/21,6/27,1610,RV,2.4,42,40
Pew Research,6/15,6/26,1655,RV,2.7,51,42
ABC News/Wash Post,6/20,6/23,836,RV,4,51,39
NBC News/Wall St. Jrnl,6/19,6/23,1000,RV,3.1,46,41
Rasmussen Reports,6/20,6/21,1000,LV,3,44,39
Reuters/Ipsos,6/18,6/22,1339,RV,2.8,44,34
Economist/YouGov,6/18,6/20,1011,RV,4.1,43,39
CNN/ORC,6/16,6/19,891,RV,3.5,47,42
Monmouth,6/15,6/19,721,LV,3.7,49,41
Gravis*,6/16,6/16,2197,RV,2.1,51,47
Rasmussen Reports,6/14,6/15,1000,LV,3,44,39
Reuters/Ipsos,6/11,6/15,1323,RV,2.8,41,32
CNBC,6/11,6/13,801,RV,3.5,40,35
Bloomberg*,6/10,6/13,750,LV,3.6,49,37
CBS News,6/9,6/13,1048,RV,4,43,37
FOX News,6/5,6/8,1004,RV,3,42,39
Rasmussen Reports,6/6,6/7,1000,LV,3,42,38
Reuters/Ipsos,6/4,6/8,1440,RV,2.9,42,34
Economist/YouGov,6/2,6/5,1636,RV,3.6,44,41